file_id	md5	size	urls	sample_id
596fc2de57601ec08a01fdee59b58f41	1b667436bfdb2d8060149ef126e4f971	37885237	http://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmwgsqc/v2/SRS013155.tar.bz2,s3://nih-hmp-hhs/hmwgsqc2/SRS013155.tar.bz2	faab18e1a137731cffda8825602266ce
596fc2de57601ec08a01fdee59c3f277	a5a143ba403f9ba3f1b89f54a93a8a22	3764157197	http://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmwgsqc/v2/SRS018820.tar.bz2,s3://nih-hmp-hhs/hmwgsqc2/SRS018820.tar.bz2	faab18e1a137731cffda882560519550
596fc2de57601ec08a01fdee59e8e90d	f5ae64ece4d391f7899a5a59bee254f0	231411273	http://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmwgsqc/v2/SRS1055050.tar.bz2,s3://nih-hmp-hhs/hmwgsqc2/SRS1055050.tar.bz2	596fc2de57601ec08a01fdee59068c8e
596fc2de57601ec08a01fdee59a4510c	2e0dbfb2fddd0d93e496a30df3f2ac83	38685350	http://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmwgsqc/v1/SRS017511.tar.bz2,s3://nih-hmp-hhs/hmasm/SRS017511.scaffolds.fa.bz2	faab18e1a137731cffda8825604702bd
596fc2de57601ec08a01fdee59a9dcca	73e6f0cf582ac3d0bfe52fca1fe48201	139649	http://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmwgsqc/v1/SRS021483.tar.bz2,s3://nih-hmp-hhs/hmasm/SRS021483.scaffolds.fa.bz2	faab18e1a137731cffda8825606aba6c
596fc2de57601ec08a01fdee59ef8b06	7b3f64108603e0cd70e21b4746fe71d6	5659382474	http://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmwgsqc/v2/SRS143290.tar.bz2,s3://nih-hmp-hhs/hmwgsqc2/SRS143290.tar.bz2	596fc2de57601ec08a01fdee591a471d
596fc2de57601ec08a01fdee59a0e06a	0bce6a4a597c55ae867033fa7f617116	2710656	http://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmwgsqc/v1/SRS015374.tar.bz2,s3://nih-hmp-hhs/hmasm/SRS015374.scaffolds.fa.bz2	faab18e1a137731cffda882560341221
596fc2de57601ec08a01fdee59f3a364	2a7fb98276f38b56e2fef3bf66c5d0fe	34307161	http://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmwgsqc/v2/SRS893329.tar.bz2,s3://nih-hmp-hhs/hmwgsqc2/SRS893329.tar.bz2	596fc2de57601ec08a01fdee59244bd6
596fc2de57601ec08a01fdee59b8957d	797729ef9ef352857fe4fa3416e79082	5509097485	http://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmwgsqc/v2/SRS014573.tar.bz2,s3://nih-hmp-hhs/hmwgsqc2/SRS014573.tar.bz2	faab18e1a137731cffda8825602cca00
596fc2de57601ec08a01fdee59b4469a	b6602114a83d101d97856f6212d42789	30874163	http://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmwgsqc/v2/SRS011132.tar.bz2,s3://nih-hmp-hhs/hmwgsqc2/SRS011132.tar.bz2	faab18e1a137731cffda88256020072f
596fc2de57601ec08a01fdee59bbea01	f92b66a93c73653062b24f9c6673169b	5326378549	http://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmwgsqc/v2/SRS015644.tar.bz2,s3://nih-hmp-hhs/hmwgsqc2/SRS015644.tar.bz2	faab18e1a137731cffda882560361eaf
596fc2de57601ec08a01fdee59bb4804	eefc0dcf2d52ca5251b01860d54d2bb5	19861830	http://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmwgsqc/v2/SRS015450.tar.bz2,s3://nih-hmp-hhs/hmwgsqc2/SRS015450.tar.bz2	faab18e1a137731cffda88256034648e
596fc2de57601ec08a01fdee59a8fb06	bbb25b41df1a88f748789d94eebc2f3a	196934	http://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmwgsqc/v1/SRS051613.tar.bz2,s3://nih-hmp-hhs/hmasm/SRS051613.scaffolds.fa.bz2	faab18e1a137731cffda8825605d8ac1
596fc2de57601ec08a01fdee59c44875	d7dd5bb354ac8d6c0ca801e07c9b112c	786290980	http://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmwgsqc/v2/SRS018971.tar.bz2,s3://nih-hmp-hhs/hmwgsqc2/SRS018971.tar.bz2	faab18e1a137731cffda8825605310e8
596fc2de57601ec08a01fdee59c40af5	d3f943dad205657879c7f518d2e20bf6	4762830942	http://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmwgsqc/v2/SRS018826.tar.bz2,s3://nih-hmp-hhs/hmwgsqc2/SRS018826.tar.bz2	faab18e1a137731cffda88256051b4b4
